#Redshift	LSSTu	LSSTg	LSSTr	LSSTi	LSSTz	LSSTy	M_1450	M_i
        0.66000        20.05636        19.90025        19.92955        19.97128        19.97136        19.96751       -22.28397       -22.62462
        0.67000        20.05326        19.89624        19.92091        19.96502        19.96518        19.96217       -22.32338       -22.66402
        0.68000        20.04996        19.89230        19.91223        19.95866        19.95894        19.95664       -22.36232       -22.70296
        0.69000        20.04651        19.88843        19.90356        19.95218        19.95265        19.95093       -22.40080       -22.74144
        0.70000        20.04293        19.88461        19.89493        19.94555        19.94632        19.94507       -22.43883       -22.77947
        0.71000        20.03925        19.88083        19.88635        19.93879        19.93997        19.93907       -22.47641       -22.81705
        0.72000        20.03547        19.87710        19.87784        19.93189        19.93360        19.93296       -22.51354       -22.85419
        0.73000        20.03160        19.87341        19.86940        19.92488        19.92721        19.92676       -22.55024       -22.89089
        0.74000        20.02767        19.86977        19.86101        19.91779        19.92082        19.92049       -22.58651       -22.92715
        0.75000        20.02367        19.86619        19.85268        19.91063        19.91442        19.91418       -22.62235       -22.96299
        0.76000        20.01960        19.86267        19.84438        19.90344        19.90801        19.90786       -22.65777       -22.99841
        0.77000        20.01548        19.85921        19.83612        19.89625        19.90161        19.90152       -22.69277       -23.03341
        0.78000        20.01130        19.85582        19.82789        19.88907        19.89523        19.89518       -22.72736       -23.06800
        0.79000        20.00706        19.85250        19.81968        19.88190        19.88887        19.88884       -22.76154       -23.10218
        0.80000        20.00276        19.84926        19.81150        19.87474        19.88254        19.88252       -22.79532       -23.13596
        0.81000        19.99839        19.84610        19.80335        19.86761        19.87624        19.87621       -22.82870       -23.16934
        0.82000        19.99395        19.84302        19.79525        19.86048        19.86998        19.86994       -22.86169       -23.20233
        0.83000        19.98945        19.84003        19.78722        19.85337        19.86374        19.86370       -22.89429       -23.23493
        0.84000        19.98489        19.83713        19.77928        19.84626        19.85754        19.85751       -22.92651       -23.26715
        0.85000        19.98027        19.83433        19.77144        19.83918        19.85139        19.85136       -22.95834       -23.29899
        0.86000        19.97561        19.83162        19.76371        19.83209        19.84528        19.84527       -22.98981       -23.33045
        0.87000        19.97093        19.82901        19.75610        19.82496        19.83922        19.83922       -23.02090       -23.36154
        0.88000        19.96624        19.82650        19.74862        19.81779        19.83322        19.83322       -23.05162       -23.39227
        0.89000        19.96157        19.82409        19.74128        19.81059        19.82729        19.82728       -23.08199       -23.42263
        0.90000        19.95693        19.82177        19.73407        19.80336        19.82141        19.82139       -23.11199       -23.45264
        0.91000        19.95235        19.81955        19.72701        19.79612        19.81559        19.81556       -23.14164       -23.48229
        0.92000        19.94786        19.81741        19.72010        19.78887        19.80984        19.80980       -23.17095       -23.51159
        0.93000        19.94348        19.81534        19.71337        19.78159        19.80414        19.80411       -23.19990       -23.54054
        0.94000        19.93922        19.81333        19.70682        19.77429        19.79851        19.79850       -23.22852       -23.56916
        0.95000        19.93510        19.81138        19.70047        19.76697        19.79295        19.79295       -23.25679       -23.59743
        0.96000        19.93109        19.80947        19.69430        19.75964        19.78744        19.78747       -23.28473       -23.62537
        0.97000        19.92720        19.80760        19.68833        19.75232        19.78198        19.78207       -23.31234       -23.65298
        0.98000        19.92341        19.80577        19.68256        19.74503        19.77656        19.77673       -23.33962       -23.68027
        0.99000        19.91969        19.80396        19.67699        19.73777        19.77114        19.77147       -23.36658       -23.70722
        1.00000        19.91604        19.80218        19.67162        19.73058        19.76570        19.76629       -23.39322       -23.73386
        1.01000        19.91243        19.80043        19.66648        19.72346        19.76022        19.76119       -23.41954       -23.76019
        1.02000        19.90886        19.79871        19.66155        19.71645        19.75470        19.75617       -23.44555       -23.78620
        1.03000        19.90530        19.79701        19.65687        19.70956        19.74915        19.75125       -23.47125       -23.81190
        1.04000        19.90176        19.79533        19.65242        19.70278        19.74357        19.74640       -23.49665       -23.83729
        1.05000        19.89824        19.79368        19.64822        19.69609        19.73799        19.74164       -23.52174       -23.86238
        1.06000        19.89475        19.79205        19.64426        19.68947        19.73241        19.73695       -23.54653       -23.88717
        1.07000        19.89131        19.79043        19.64053        19.68293        19.72686        19.73235       -23.57102       -23.91167
        1.08000        19.88794        19.78885        19.63704        19.67646        19.72135        19.72784       -23.59522       -23.93587
        1.09000        19.88465        19.78729        19.63377        19.67006        19.71591        19.72341       -23.61914       -23.95978
        1.10000        19.88147        19.78576        19.63069        19.66372        19.71054        19.71906       -23.64276       -23.98340
        1.11000        19.87840        19.78426        19.62780        19.65746        19.70527        19.71482       -23.66610       -24.00674
        1.12000        19.87546        19.78280        19.62508        19.65127        19.70009        19.71066       -23.68916       -24.02980
        1.13000        19.87268        19.78138        19.62252        19.64519        19.69500        19.70660       -23.71194       -24.05258
        1.14000        19.87005        19.78000        19.62010        19.63919        19.69001        19.70262       -23.73445       -24.07509
        1.15000        19.86757        19.77867        19.61782        19.63330        19.68511        19.69873       -23.75668       -24.09732
        1.16000        19.86524        19.77738        19.61568        19.62751        19.68028        19.69493       -23.77865       -24.11929
        1.17000        19.86304        19.77614        19.61367        19.62184        19.67553        19.69122       -23.80035       -24.14099
        1.18000        19.86096        19.77494        19.61181        19.61630        19.67082        19.68759       -23.82178       -24.16242
        1.19000        19.85900        19.77380        19.61008        19.61090        19.66615        19.68405       -23.84295       -24.18360
        1.20000        19.85714        19.77269        19.60850        19.60565        19.66150        19.68061       -23.86387       -24.20451
        1.21000        19.85536        19.77163        19.60708        19.60056        19.65687        19.67726       -23.88453       -24.22517
        1.22000        19.85367        19.77062        19.60582        19.59564        19.65226        19.67399       -23.90494       -24.24558
        1.23000        19.85205        19.76964        19.60473        19.59089        19.64769        19.67079       -23.92509       -24.26574
        1.24000        19.85050        19.76871        19.60381        19.58629        19.64318        19.66762       -23.94500       -24.28565
        1.25000        19.84902        19.76781        19.60306        19.58186        19.63873        19.66445       -23.96467       -24.30531
        1.26000        19.84763        19.76695        19.60249        19.57758        19.63437        19.66129       -23.98409       -24.32473
        1.27000        19.84633        19.76613        19.60208        19.57345        19.63011        19.65813       -24.00327       -24.34391
        1.28000        19.84513        19.76535        19.60185        19.56949        19.62594        19.65495       -24.02222       -24.36286
        1.29000        19.84404        19.76461        19.60178        19.56568        19.62184        19.65175       -24.04092       -24.38157
        1.30000        19.84308        19.76391        19.60186        19.56203        19.61782        19.64855       -24.05940       -24.40004
        1.31000        19.84226        19.76326        19.60210        19.55854        19.61388        19.64535       -24.07764       -24.41829
        1.32000        19.84159        19.76266        19.60249        19.55520        19.61000        19.64216       -24.09566       -24.43630
        1.33000        19.84109        19.76210        19.60303        19.55199        19.60618        19.63898       -24.11345       -24.45409
        1.34000        19.84076        19.76159        19.60370        19.54893        19.60243        19.63583       -24.13102       -24.47166
        1.35000        19.84061        19.76113        19.60451        19.54601        19.59872        19.63273       -24.14836       -24.48901
